City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
303,gunjur,13.2019,-16.7339,300.19,61,1,1.54,GM,1702407906
304,funadhoo,6.15,73.2667,299.81,77,44,1.81,MV,1702407907
305,muriti,-1.9833,32.9167,296.62,70,100,2.73,TZ,1702407907
306,nieuw amsterdam,5.8833,-55.0833,307.24,75,20,3.09,SR,1702407907
307,tazovsky,67.4667,78.7,250.48,94,100,4.22,RU,1702407908
308,xam nua,20.4197,104.0439,291.01,96,89,1.01,LA,1702407908
309,badger,64.8,-147.5333,259.29,85,100,0.0,US,1702407909
310,mahendranagar,28.9167,80.3333,285.27,54,0,3.18,NP,1702407910
311,kidal,18.4411,1.4078,293.96,20,0,4.76,ML,1702407910
312,south weber,41.1324,-111.9302,278.34,81,0,2.68,US,1702407910
313,luderitz,-26.6481,15.1594,289.62,73,0,15.65,NA,1702407911
314,nemuro,43.3236,145.575,272.8,67,43,10.09,JP,1702407911
315,tsiombe,-25.3,45.4833,297.26,86,100,0.13,MG,1702407911
316,kunashak,55.7032,61.5498,246.44,80,100,5.41,RU,1702407912
317,kingston,17.997,-76.7936,303.68,70,20,8.23,JM,1702407876
318,guerrero negro,27.9769,-114.0611,292.33,58,100,0.59,MX,1702407912
319,devils lake,48.1128,-98.8651,264.79,70,0,3.6,US,1702407700
320,nago,26.5881,127.9761,293.62,76,97,5.39,JP,1702407912
321,al bardiyah,31.7561,25.0865,291.66,67,6,7.27,LY,1702407913
322,bathsheba,13.2167,-59.5167,302.49,74,40,7.72,BB,1702407913
323,pacific grove,36.6177,-121.9166,290.59,68,0,4.92,US,1702407835
324,ciudad melchor muzquiz,27.8833,-101.5167,287.8,43,70,3.66,MX,1702407913
325,flying fish cove,-10.4217,105.6791,298.97,88,100,2.57,CX,1702407913
326,camacupa,-12.0167,17.4833,291.17,91,71,1.84,AO,1702407914
327,hithadhoo,-0.6,73.0833,301.18,73,22,1.88,MV,1702407914
328,qamdo,31.1667,97.2333,263.41,56,24,3.23,CN,1702407914
329,embi,48.8264,58.1442,253.15,70,9,8.32,KZ,1702407914
330,altai,46.3722,96.2583,256.52,88,100,0.2,MN,1702407915
331,mutuali,-14.8706,37.0044,302.51,44,100,1.68,MZ,1702407915
332,east london,-33.0153,27.9116,290.67,82,100,2.57,ZA,1702407685
333,farsan,32.2569,50.561,274.17,30,100,1.23,IR,1702407915
334,robertsport,6.7533,-11.3686,301.0,77,0,3.31,LR,1702407916
335,bogatyye saby,56.0102,50.4483,252.68,82,100,7.49,RU,1702407916
336,jatoba,-9.1831,-38.2689,308.04,22,13,5.2,BR,1702407916
337,racine,42.7495,-88.0751,275.44,63,0,4.12,US,1702407917
338,wajir,1.7471,40.0573,302.13,74,0,0.0,KE,1702407917
339,brisas de zicatela,15.8369,-97.0419,304.44,51,0,3.6,MX,1702407917
340,fort st. john,56.2499,-120.8529,273.09,51,75,4.63,CA,1702407917
341,mao,39.8885,4.2658,289.46,100,0,3.6,ES,1702407918
342,yeppoon,-23.1333,150.7333,296.03,71,87,4.02,AU,1702407918
343,san antonio de pale,-1.4014,5.6325,300.24,79,67,3.37,GQ,1702407918
344,qaqortoq,60.7167,-46.0333,272.88,98,100,3.73,GL,1702407918
345,saint-philippe,-21.3585,55.7679,296.92,84,45,4.36,RE,1702407918
346,gimbi,9.1667,35.8333,288.54,51,18,0.53,ET,1702407919
347,atar,20.5169,-13.0499,298.64,13,100,4.3,MR,1702407919
348,san mariano,7.5,126.0,294.46,95,68,1.52,PH,1702407919
349,acarau,-2.8856,-40.12,300.7,80,6,10.7,BR,1702407920
350,ilomantsi,62.6716,30.9328,262.98,95,100,2.84,FI,1702407920
351,ardakan,32.31,54.0175,284.03,38,100,1.66,IR,1702407920
352,st. john's,47.5649,-52.7093,278.03,83,75,14.4,CA,1702407793
353,cockburn town,21.4612,-71.1419,299.7,79,100,9.36,TC,1702407921
354,igarka,67.4667,86.5833,244.29,93,54,6.0,RU,1702407921
355,iskateley,67.6803,53.1512,259.27,96,86,4.02,RU,1702407921
356,cortez,37.3489,-108.5859,284.57,25,0,6.38,US,1702407858
357,campo formoso,-10.5075,-40.3214,305.69,29,86,3.28,BR,1702407762
358,bulgan,48.8125,103.5347,251.93,97,100,0.8,MN,1702407922
359,namibe,-15.1961,12.1522,296.34,74,71,1.93,AO,1702407922
360,tokar,18.4254,37.729,300.4,68,0,3.72,SD,1702407922
361,birni n konni,13.7956,5.2553,294.8,19,0,4.78,NE,1702407922
362,sola,-13.8833,167.55,298.97,60,89,6.62,VU,1702407922
363,coquimbo,-29.9533,-71.3436,292.0,72,20,6.69,CL,1702407772
364,shiguai,40.7058,110.2856,270.15,76,100,2.12,CN,1702407922
